,htmid_level_6,galaxy_id,c_in,mB,t0_in,x0_in,x1_in,z_in,snid_in,snra_in,sndec_in
0,9197,23279,-0.1532117310061884,24.115762354089583,61015.483187747515,3.585257684585832e-06,-1.0487610690120004,0.8087030287874992,hl_ms_23279,57.16365821697636,-31.13844357798258
1,9197,42663,-0.06652495016390918,24.729286824187064,62492.507484777605,2.0287134219555947e-06,0.3900974378881205,1.0221030480042237,hl_ms_42663,57.06168876919739,-31.149381974091273
2,9197,44804,-0.11681766798511148,24.64839965947784,60296.851211361085,2.1762247723113355e-06,1.3721121844477582,1.0476349611674776,hl_ms_44804,57.15785793234532,-31.20180811349151
3,9197,59080,0.10140297299515694,25.53963462203267,61356.03117853045,9.582267979216804e-07,1.2786628234934898,1.2009989026262913,hl_ms_59080,57.01389648751385,-31.085026093171628
4,9197,65905,0.07132370114590392,25.969873905679847,62995.02255728398,6.460486835853135e-07,0.8216411733947547,1.237551487443879,hl_ms_65905,57.01953496744362,-31.24116850221809
5,9197,68555,-0.09819082907184937,25.227737674017252,59596.41134793827,1.278777306694759e-06,0.9489357917521688,1.2573369730980937,hl_ms_68555,56.95195517185598,-31.07968164134842
6,9197,69241,0.17052826907904756,26.76251704403906,61287.00023129957,3.138352183316856e-07,-1.7470886879722545,1.2649692352194306,hl_ms_69241,57.110037530162195,-31.214185627343568
7,9197,4125030762,0.006923282975380092,20.9366673915652,62913.756131281574,6.681330519973433e-05,0.08022042374840055,0.20590996742248535,MS_9300_74,57.01592747588264,-31.151062188591112
8,9197,4125083442,-0.004801075030468116,21.792006940731806,62038.49722262874,3.0409670270265986e-05,-0.0982954964279995,0.2950291633605957,MS_9300_163,57.02699185729592,-31.177616769675453
9,9197,4125114772,-0.0342391912538965,22.0365532536914,60869.38350115116,2.4176745846821224e-05,0.9780005881107808,0.30879437923431396,MS_9300_196,57.126941338317174,-31.08945784623169
10,9197,4125110895,-0.07466303260007559,21.510851668098137,60703.427517706936,3.935721575722641e-05,0.11103242828618198,0.3087416887283325,MS_9300_197,57.1061516642161,-31.152386749036186
11,9197,4125111058,-0.04992155018665284,21.659206543093457,59787.664920054114,3.42773619887209e-05,0.5635373880081829,0.32085514068603516,MS_9300_214,57.08962916983543,-31.198895876758918
12,9197,4125112634,-0.009134965573080078,21.92691084636252,61968.091304912705,2.6942446691772425e-05,-0.991945202482646,0.3286086320877075,MS_9300_238,57.025321890100315,-31.254400428086633
13,9197,4125111056,0.08024886132447842,22.68275383332859,60010.00500949991,1.3545589477803865e-05,-3.62935285909772,0.32085514068603516,MS_9300_240,57.09102315583279,-31.198242097963092
14,9197,4125180686,0.05600907211851546,22.5177815645034,61185.68287317486,1.55083991670523e-05,1.1561317274128766,0.3815969228744507,MS_9300_348,57.077328325475975,-31.05306526269324
15,9197,4125180652,0.14896858554450262,22.82668157963853,59825.69543971184,1.1654638930918502e-05,1.2278586256541038,0.3815969228744507,MS_9300_370,57.05404346869312,-31.05396205519198
16,9197,4125244353,-0.08885426945244716,22.67681500810984,62157.21373276706,1.3498568645873863e-05,-0.9692671195433135,0.4226720333099365,MS_9300_476,56.99984695199649,-31.20017711303912
17,9197,4125254801,-0.01140741772201153,22.423815021079008,61243.98617979871,1.6918784654690065e-05,1.0635715389535179,0.4226720333099365,MS_9300_492,57.01542989071241,-31.208897195954844
18,9197,4125249759,0.08203307105097202,22.995646490292444,60377.984669719655,1.0013330722184487e-05,0.426388542826255,0.4218428134918213,MS_9300_513,56.95815361426753,-31.264307735489627
19,9197,4125300281,-0.07900643575895701,22.4169388271598,61796.12493468475,1.704313985146885e-05,0.7347537981305821,0.44179975986480713,MS_9300_563,57.13320811723939,-31.150266478830464
20,9197,4125310199,0.02786091148660972,23.5620501499384,62835.17153371402,6.002249247330368e-06,-2.3042808722934125,0.46633338928222656,MS_9300_594,57.04103616122535,-31.24870850884618
21,9197,4125442324,0.12742229494655602,23.451953696969344,61362.64243511609,6.576796043786396e-06,0.3329464235686792,0.5101231336593628,MS_9300_738,57.20204771690801,-31.061951457197132
22,9197,4125531049,0.018079885183457482,23.600963858071665,61984.69123194729,5.74176525843019e-06,0.1386198956656609,0.5414130687713623,MS_9300_967,57.067040949467746,-31.26266885728339
23,9197,4125627711,-0.014973042134492826,23.49372632520568,62086.70925478789,6.313800249849683e-06,1.1277355097932966,0.5829468965530396,MS_9300_1133,57.19518140125414,-31.057074828146913
24,9197,4125629858,0.02502714483694555,23.932663368264592,59597.32550010067,4.23129191465062e-06,0.067889832872855,0.6015312671661377,MS_9300_1170,56.986746844045605,-31.231139041596723
25,9197,4125635657,0.002625074177999502,23.56217501096169,62812.66801569152,5.955181912777878e-06,-0.0668417081047935,0.592448353767395,MS_9300_1194,57.046706418709526,-31.07416325583896
26,9197,4125752677,-0.050221390266830444,23.81542819967505,62552.46877908479,4.694519119145899e-06,1.1095237607889834,0.6244403123855591,MS_9300_1310,57.07039713736042,-31.19522288293891
27,9197,4125753226,-0.023759054974146238,23.7562073799093,63184.76586740359,4.973246364661902e-06,0.3250258878861718,0.6333258152008057,MS_9300_1366,56.95899017868142,-31.097594651260973
28,9197,4125871491,0.134554833909221,24.385506284560318,62011.846306778665,2.7781913317192008e-06,0.814351728760832,0.6756374835968018,MS_9300_1556,57.04088142446931,-31.16591898605916
29,9197,4125880348,0.011055479521465378,23.82988985679658,61217.325882800586,4.626007151275557e-06,1.4784649390283788,0.6761651039123535,MS_9300_1586,57.08941707616477,-31.11338754945512
30,9197,4126013486,-0.06948201000039039,23.702925755761875,60796.037415083,5.212522685351227e-06,0.8155954385582102,0.697097897529602,MS_9300_1708,57.04045610204452,-31.07168319915779
31,9197,4125864974,-0.023224311295407488,23.598526443346294,62424.5218742982,5.73569462924071e-06,0.9992764000050359,0.6911462545394897,MS_9300_1710,57.11128963760759,-31.093635712958548
32,9197,4125862581,-0.02718904521639495,24.09481117268061,62470.776839207625,3.6539656899387366e-06,-0.6663554199774054,0.6909605264663696,MS_9300_1788,57.111266234398975,-31.13061957512585
33,9197,4125866100,0.06999743290056101,24.327943094600517,60158.001125710085,2.937090750107808e-06,0.29059859717859915,0.6897982358932495,MS_9300_1815,57.191264895342144,-31.10817058004784
34,9197,4125998430,-0.016031622129818367,24.394843393426676,61826.57021283521,2.768568791928345e-06,-0.3413220374012468,0.7255325317382812,MS_9300_1880,57.095430188065734,-31.2221846082139
35,9197,4126004027,-0.013602513587608743,24.361152958534152,61042.66280907396,2.877680440621519e-06,-2.5416923148967405,0.7074010372161865,MS_9300_1967,57.196186455385885,-31.126413992280984
36,9197,4126010336,0.12728340023146312,24.548434182821765,61396.31090647198,2.397176616152097e-06,0.16052485138408235,0.7247850894927979,MS_9300_1976,56.96245121599921,-31.19032265963196
37,9197,4125995581,-0.034663138888599794,23.827866921535914,62274.72352859259,4.6503845261598186e-06,0.6128139582774745,0.7261557579040527,MS_9300_2015,57.0880491481583,-31.249812861357718
38,9197,4126146451,-0.03181559804000238,24.747866940257502,59621.24403152968,2.010988607190301e-06,-1.9045964841021124,0.7778855562210083,MS_9300_2314,57.13351410781889,-31.2149036240411
39,9197,4126340400,0.08468464903760164,24.696719898051732,62619.422041054175,2.088615125004468e-06,0.5980351199477432,0.7992453575134277,MS_9300_2398,57.107143693443525,-31.239668514753973
40,9197,4126530488,-0.06317142968460357,24.340526865343357,62039.640764031574,2.9130887354237003e-06,-0.6277916163868097,0.835740327835083,MS_9300_2731,57.02867891644486,-31.18963578757454
41,9197,4126523231,-0.027848483228151873,24.451245594926387,61781.595274038955,2.616892779502293e-06,0.8277426792238805,0.8306119441986084,MS_9300_2802,57.007657656301255,-31.110307544257452
42,9197,4126529063,0.012925755733021675,24.720714373615706,59972.97988253722,2.0470747696911955e-06,0.14771472272875708,0.85283362865448,MS_9300_2839,56.97910732430697,-31.13007819427632
43,9197,4126524739,0.085610740366839,25.018021053955923,62946.99278610729,1.5634442907101406e-06,-1.1547153668109442,0.8341354131698608,MS_9300_2862,57.06787074121917,-31.25083013613923
44,9197,4126506381,0.014205848635247473,24.888538088000807,60869.25276319132,1.75443460897427e-06,0.06431530442046951,0.853040337562561,MS_9300_2918,57.02701420088865,-31.224870486076846
45,9197,4126516242,0.08519807500781651,24.592096693767395,62916.45679326465,2.2923702582378487e-06,1.4236827494451985,0.8531137704849243,MS_9300_2941,57.08483754440139,-31.25482294573164
46,9197,4126704793,0.054891266914840565,24.893313936275785,61398.762354378865,1.7371203967906226e-06,1.4523069730456064,0.8955603837966919,MS_9300_3333,57.19174003100672,-31.252495240528127
47,9197,4126691938,-0.1353506886691483,24.200010178527428,62617.444069592726,3.292180231076919e-06,1.077299614048755,0.8920421600341797,MS_9300_3388,57.14192035000959,-31.142865704638787
48,9197,4126697875,0.011319231658619117,25.133300326496343,61997.1048497755,1.409722685940089e-06,-1.8290179329889389,0.9135301113128662,MS_9300_3489,57.201688123888665,-31.10738768713047
49,9197,4126715836,-0.07071358600749811,24.664696111027663,60201.48201173114,2.1542323972262617e-06,0.2383592084055025,0.9091625213623047,MS_9300_3520,57.20739482889245,-31.080011352146315
50,9197,4126924379,0.04981725795281045,25.351976608312473,62728.67750606236,1.1438573362689876e-06,0.27868851142988926,0.9258298873901367,MS_9300_3528,57.087263851011436,-31.08634411730156
51,9197,4126689262,-0.05414835729405135,24.6521988085218,60481.00297704609,2.180473076281706e-06,0.10441304407512675,0.9127408266067505,MS_9300_3570,57.100570987011764,-31.188434175909833
52,9197,4126916823,0.03807677933960301,25.143135795748314,62754.52325408446,1.3831986482404832e-06,0.9087297395922743,0.9225249290466309,MS_9300_3663,57.093341241192014,-31.088087395165672
53,9197,4126944754,0.12158439509002855,24.950094101126027,62235.05475404731,1.6517780094243355e-06,0.8396863255003889,0.9256699085235596,MS_9300_3784,57.08377330308004,-31.134085599396652
54,9197,4126934340,-0.04158888433862108,24.462586717098056,61441.67665486599,2.5955672056891974e-06,0.22111591015114207,0.9506077766418457,MS_9300_3796,57.03622965509208,-31.266940088919586
55,9197,4126948196,0.027280561360648055,25.28044758947579,62105.92290432279,1.225046654950085e-06,-0.4371626210332048,0.9551677703857422,MS_9300_3904,57.17662126419063,-31.250955657378963
56,9197,4126924196,0.09145007598452301,25.38418134442091,62477.512681320804,1.114394539737191e-06,-0.7866935450216702,0.9566165208816528,MS_9300_3946,57.175431937004795,-31.243317941792945
57,9197,4127153457,-0.060887957520380794,24.518928507945503,62106.49788310411,2.4646306284015167e-06,0.16085359752026884,0.9664623737335205,MS_9300_4100,56.95251362210499,-31.112860066214022
58,9197,4127170815,-0.027050861623448608,24.96577479754147,62758.285746433685,1.6305998039180117e-06,0.6059003666343092,0.9612196683883667,MS_9300_4158,57.10230259765339,-31.133138824041946
